timestamp,serial,lot_id,station,operator,meas_voltage,meas_current,result,fail_code,rework_hours,scrap_cost_$
11/2/2025 8:02,S1101-1003,L1101TEST,PAYAM,PIE,2.5,1.18,PASS,PIETEST,2,40
11/3/2025 8:02,S1101-1004,L1101TEST,PAYAM,PIE,2.6,1.18,PASS,PIETEST,5,40
11/4/2025 8:02,S1101-1005,L1101TEST,PAYAM,PIE,2.7,1.18,PASS,PIETEST,5,40
11/5/2025 8:02,S1101-1006,L1101TEST,PAYAM,PIE,2.8,1.18,PASS,PIETEST,5,40
11/6/2025 8:02,S1101-1007,L1101TEST,PAYAM,PIE,2.9,1.18,PASS,PIETEST,5,20
11/7/2025 8:02,S1101-1008,L1101TEST,PAYAM,PIE,3,1.18,PASS,PIETEST,5,40
11/8/2025 8:02,S1101-1009,L1101TEST,PAYAM,PIE,3.1,1.18,PASS,PIETEST,5,40
11/9/2025 8:02,S1101-1004,L1101TEST,PAYAM,PIE,3.2,1.18,PASS,PIETEST,5,40
11/10/2025 8:02,S1101-1004,L1101TEST,PAYAM,PIE,3.3,1.18,PASS,PIETEST,5,40
11/11/2025 8:02,S1101-1005,L1101TEST,PAYAM,PIE,3.4,1.18,PASS,PIETEST,5,40
11/12/2025 8:02,S1101-1006,L1101TEST,PAYAM,PIE,3.5,1.18,PASS,PIETEST,5,40
11/13/2025 8:02,S1101-1007,L1101TEST,PAYAM,PIE,3.6,1.18,PASS,PIETEST,5,40
11/14/2025 8:02,S1101-1008,L1101TEST,PAYAM,PIE,3.7,1.18,PASS,PIETEST,5,30
11/15/2025 8:02,S1101-1009,L1101TEST,PAYAM,PIE,3.8,1.18,PASS,PIETEST,5,40
11/16/2025 8:02,S1101-1010,L1101TEST,PAYAM,PIE,3.8,1.18,PASS,PIETEST,5,40
11/17/2025 8:02,S1101-1011,L1101TEST,PAYAM,PIE,3.8,1.18,FAIL,PIETEST,2,40
11/18/2025 8:02,S1101-1012,L1101TEST,PAYAM,PIE,3.8,1.18,FAIL,PIETEST,0.5,40
11/19/2025 8:02,S1101-1013,L1101TEST,PAYAM,PIE,3.8,1.18,FAIL,PIETEST,0.5,40
11/20/2025 8:02,S1101-1014,L1101TEST,PAYAM,PIE,3.8,1.18,FAIL,PIETEST,0.5,10
11/21/2025 8:02,S1101-1015,L1101TEST,PAYAM,PIE,3.8,1.18,FAIL,PIETEST,0.5,40
11/22/2025 8:02,S1101-1016,L1101TEST,PAYAM,PIE,3.8,1.18,FAIL,PIETEST,0.5,40
11/23/2025 8:02,S1101-1017,L1101TEST,PAYAM,PIE,3.8,1.18,FAIL,PIETEST,0.5,0
11/24/2025 8:02,S1101-1018,L1101TEST,PAYAM,PIE,3.8,1.18,FAIL,PIETEST,0.5,40
11/25/2025 8:02,S1101-1019,L1101TEST,PAYAM,PIE,3.8,1.18,FAIL,PIETEST,0.5,40
11/26/2025 8:02,S1101-1020,L1101TEST,PAYAM,PIE,3.8,1.18,FAIL,PIETEST,0.5,40
11/27/2025 8:02,S1101-1021,L1101TEST,PAYAM,PIE,3.8,1.18,FAIL,PIETEST,0.5,40
11/28/2025 8:02,S1101-1022,L1101TEST,PAYAM,PIE,3.8,1.18,FAIL,PIETEST,0.5,90
